iter	Passed	Remaining
0	3	885
1	6	911
2	9	926
3	12	874
4	14	850
5	17	825
6	20	821
7	23	822
8	25	804
9	28	784
10	31	802
11	40	927
12	48	1037
13	53	1047
14	56	1028
15	61	1051
16	64	1029
17	67	1018
18	70	1003
19	73	994
20	77	987
21	80	976
22	83	973
23	86	960
24	89	953
25	92	943
26	97	946
27	100	935
28	102	926
29	106	922
30	110	919
31	112	908
32	115	901
33	118	894
34	121	888
35	125	884
36	128	878
37	131	870
38	133	860
39	137	856
40	141	857
41	144	851
42	147	849
43	151	845
44	153	836
45	156	828
46	158	821
47	161	815
48	165	816
49	172	826
50	180	843
51	191	874
52	198	889
53	201	882
54	204	875
55	208	872
56	217	888
57	222	888
58	225	882
59	233	894
60	238	894
61	242	891
62	245	884
63	249	880
64	258	895
65	264	897
66	271	904
67	276	903
68	279	895
69	284	892
70	287	886
71	290	878
72	293	872
73	296	866
74	302	867
75	306	862
76	309	856
77	313	853
78	318	851
79	322	845
80	324	838
81	327	830
82	330	823
83	334	820
84	337	812
85	339	805
86	341	797
87	343	789
88	346	781
89	349	777
90	352	769
91	354	762
92	356	755
93	359	749
94	363	746
95	366	740
96	368	733
97	370	726
98	373	719
99	375	713
100	377	706
101	380	701
102	383	696
103	390	698
104	394	694
105	403	700
