id,age,decile_score,priors_count,two_year_recid,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
1,69,1,0,0,0,1,0,1,0,0,0,0,0,0,1
3,34,3,0,1,0,1,1,0,0,1,0,0,0,0,0
4,24,4,4,1,0,1,0,0,1,1,0,0,0,0,0
5,23,8,1,0,0,1,0,0,1,1,0,0,0,0,0
6,43,1,2,0,0,1,1,0,0,0,0,0,0,0,1
7,44,1,0,0,0,1,1,0,0,0,0,0,0,0,1
8,41,6,14,1,0,1,1,0,0,0,0,1,0,0,0
9,43,4,3,0,0,1,1,0,0,0,0,0,0,0,1
10,39,1,0,0,1,0,1,0,0,0,0,1,0,0,0
13,21,3,1,1,0,1,0,0,1,0,0,1,0,0,0
14,27,4,0,0,0,1,1,0,0,0,0,1,0,0,0
15,23,6,3,1,0,1,0,0,1,1,0,0,0,0,0
16,37,1,0,0,1,0,1,0,0,0,0,1,0,0,0
18,41,4,0,0,0,1,1,0,0,1,0,0,0,0,0
19,47,1,1,1,1,0,0,1,0,0,0,1,0,0,0
20,31,3,7,1,0,1,1,0,0,1,0,0,0,0,0
21,37,1,0,0,0,1,1,0,0,0,0,0,1,0,0
22,25,10,3,0,0,1,1,0,0,1,0,0,0,0,0
23,31,5,6,1,0,1,1,0,0,0,0,1,0,0,0
24,31,3,5,1,0,1,1,0,0,0,0,1,0,0,0
25,64,6,13,1,0,1,0,1,0,1,0,0,0,0,0
26,21,9,1,1,0,1,0,0,1,1,0,0,0,0,0
27,27,2,0,1,0,1,1,0,0,0,0,1,0,0,0
28,21,4,0,0,1,0,0,0,1,0,0,1,0,0,0
30,24,4,1,1,0,1,0,0,1,0,0,0,1,0,0
32,43,1,1,0,0,1,1,0,0,0,0,1,0,0,0
33,32,3,0,0,0,1,1,0,0,0,0,0,0,0,1
37,27,3,8,1,0,1,1,0,0,1,0,0,0,0,0
38,36,3,3,0,1,0,1,0,0,0,0,1,0,0,0
39,26,7,5,1,0,1,1,0,0,1,0,0,0,0,0
40,33,10,0,1,0,1,1,0,0,1,0,0,0,0,0
41,30,9,9,1,0,1,1,0,0,0,0,1,0,0,0
42,32,8,4,1,0,1,1,0,0,1,0,0,0,0,0
45,55,1,0,0,0,1,0,1,0,0,0,1,0,0,0
50,49,3,7,1,0,1,0,1,0,0,0,0,0,0,1
51,26,8,6,0,0,1,1,0,0,0,0,1,0,0,0
52,33,5,4,1,1,0,1,0,0,0,0,1,0,0,0
53,24,2,1,1,0,1,0,0,1,0,0,1,0,0,0
54,34,9,21,1,0,1,1,0,0,1,0,0,0,0,0
55,29,2,0,0,0,1,1,0,0,0,0,1,0,0,0
56,21,8,2,0,1,0,0,0,1,1,0,0,0,0,0
57,51,1,2,0,0,1,0,1,0,1,0,0,0,0,0
59,29,2,2,1,0,1,1,0,0,0,0,1,0,0,0
61,51,2,7,0,1,0,0,1,0,1,0,0,0,0,0
64,29,7,0,1,0,1,1,0,0,1,0,0,0,0,0
66,25,10,9,1,0,1,1,0,0,0,0,1,0,0,0
67,35,8,13,1,0,1,1,0,0,1,0,0,0,0,0
68,49,1,0,0,0,1,0,1,0,0,0,1,0,0,0
69,34,3,4,1,0,1,1,0,0,1,0,0,0,0,0
70,29,4,0,0,0,1,1,0,0,1,0,0,0,0,0
71,29,2,1,1,0,1,1,0,0,0,0,1,0,0,0
72,28,2,0,0,1,0,1,0,0,0,0,0,0,0,1
75,48,6,20,1,0,1,0,1,0,0,0,1,0,0,0
77,63,1,1,0,1,0,0,1,0,0,0,0,1,0,0
79,31,5,15,0,0,1,1,0,0,1,0,0,0,0,0
80,24,4,2,1,0,1,0,0,1,1,0,0,0,0,0
83,30,7,0,0,0,1,1,0,0,0,0,0,1,0,0
84,49,1,4,0,0,1,0,1,0,1,0,0,0,0,0
85,53,5,8,0,0,1,0,1,0,0,0,1,0,0,0
87,35,3,5,0,0,1,1,0,0,1,0,0,0,0,0
88,63,7,10,1,0,1,0,1,0,1,0,0,0,0,0
90,27,10,15,1,0,1,1,0,0,1,0,0,0,0,0
91,38,2,4,1,0,1,1,0,0,0,0,1,0,0,0
93,22,4,1,1,0,1,0,0,1,1,0,0,0,0,0
95,22,10,2,1,0,1,0,0,1,1,0,0,0,0,0
96,29,9,4,1,0,1,1,0,0,1,0,0,0,0,0
